"","ID","Year","Month","Date","Site","WetlandID","TotalNoObs","MaxDetections","Species","Detected"
"1",1,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Acris gryllus",1
"2",2,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Acris gryllus",1
"3",3,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Ambystoma talpoideum",0
"4",4,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Ambystoma talpoideum",0
"5",5,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Ambystoma tigrinum",0
"6",6,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Ambystoma tigrinum",0
"7",7,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Anaxyrus fowleri",0
"8",8,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Anaxyrus fowleri",0
"9",9,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Anaxyrus quercicus",0
"10",10,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Anaxyrus quercicus",0
"11",11,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Anaxyrus terrestris",0
"12",12,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Anaxyrus terrestris",0
"13",13,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Eurycea quadridigitata",0
"14",14,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Eurycea quadridigitata",0
"15",15,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Gastrophryne carolinensis",0
"16",16,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Gastrophryne carolinensis",0
"17",17,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla avivoca",0
"18",18,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla avivoca",0
"19",19,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla chrysoscelis",0
"20",20,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla chrysoscelis",0
"21",21,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla cinerea",0
"22",22,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla cinerea",0
"23",23,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla femoralis",1
"24",24,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla femoralis",0
"25",25,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla gratiosa",0
"26",26,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla gratiosa",0
"27",27,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla squirella",0
"28",28,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Hyla squirella",0
"29",29,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Notophthalmus perstriatus",0
"30",30,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Notophthalmus perstriatus",0
"31",31,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Notophthalmus viridescens",0
"32",32,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Notophthalmus viridescens",0
"33",33,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris crucifer",1
"34",34,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris crucifer",0
"35",35,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris feriarum",0
"36",36,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris feriarum",0
"37",37,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris nigrita",1
"38",38,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris nigrita",0
"39",39,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris ocularis",0
"40",40,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris ocularis",0
"41",41,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris ornata",1
"42",42,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudacris ornata",0
"43",43,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudobranchus striatus",0
"44",44,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Pseudobranchus striatus",0
"45",45,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana capito",0
"46",46,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana capito",0
"47",47,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana catesbeiana",0
"48",48,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana catesbeiana",0
"49",49,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana clamitans",0
"50",50,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana clamitans",0
"51",51,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana grylio",0
"52",52,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana grylio",0
"53",53,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana sphenocephala",1
"54",54,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Rana sphenocephala",1
"55",55,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Scaphiopus holbrookii",0
"56",56,2019,"April","2019-04-05","Alapaha River WMA","10",2,2,"Scaphiopus holbrookii",0
"57",57,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Acris gryllus",1
"58",58,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Acris gryllus",0
"59",59,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Ambystoma talpoideum",0
"60",60,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Ambystoma talpoideum",0
"61",61,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Ambystoma tigrinum",0
"62",62,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Ambystoma tigrinum",0
"63",63,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Anaxyrus fowleri",0
"64",64,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Anaxyrus fowleri",0
"65",65,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Anaxyrus quercicus",0
"66",66,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Anaxyrus quercicus",0
"67",67,2019,"April","2019-04-05","Alapaha River WMA","15",2,2,"Anaxyrus terrestris",0
